Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,0209_016.0,EB,0209_016.0_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     77.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.34,      0.15,         0,         0,         0,      0.19,         0
All,ok,drive,0209_017.6,EB,0209_017.6_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      1.00,     83.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.17,      0.10,         0,         0,         0,      0.07,         0
All,ok,drive,0209_015.0,WB,0209_015.0_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     18.00,     15.00,      6.37,      5.97,      0.40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0209_014.0,WB,0209_014.0_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     22.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2098_001.4,WB,2098_001.4_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     25.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.12,      0.12,         0,         0,         0,         0,         0
All,ok,drive,2098_000.9,WB,2098_000.9_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     27.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,UTA_2005,EB,UTA_2005_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     30.00,     15.00,      0.91,      0.91,         0,         0,         0,         0,         0,      0.44,      0.42,      0.02,         0,         0,         0,         0
All,ok,drive,2098_000.4,WB,2098_000.4_WB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     31.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0089_365.5,SB,0089_365.5_SB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     34.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      3.25,      2.87,      0.38,         0,         0,         0,         0
All,ok,drive,2080_004.6,EB,2080_004.6_EB,      4.00,BRT104th_2,East Sandy Daybreak Corridor,      2.00,     35.00,     15.00,         0,         0,         0,         0,         0,         0,         0,      1.21,      1.21,         0,         0,         0,         0,         0
