Purpose,Period,AccessMode,SegID,Direction,SegID_Dir,Mode,Name,LongName,RouteDir,LinkSeq,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,0198_005.9,WB,0198_005.9_WB,      4.00,M821_Psn,M821_Psn,      2.00,     95.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,0198_005.4,WB,0198_005.4_WB,      4.00,M821_Psn,M821_Psn,      2.00,     98.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.35,      0.35,         0,         0,         0,         0,         0
All,ok,drive,0198_005.3,SB,0198_005.3_SB,      4.00,M821_Psn,M821_Psn,      2.00,    100.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,SB,0198_004.4_SB,      4.00,M821_Psn,M821_Psn,      2.00,    103.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.21,      0.21,         0,         0,         0,         0,         0
All,ok,drive,0178_001.0,WB,0178_001.0_WB,      4.00,M821_Psn,M821_Psn,      2.00,    106.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,0178_000.2,WB,0178_000.2_WB,      4.00,M821_Psn,M821_Psn,      2.00,    110.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.39,      0.39,         0,         0,         0,         0,         0
All,ok,drive,UTA_0990,SB,UTA_0990_SB,      4.00,M831_WPr,M831_WPr,      1.00,      1.00,     30.00,      6.99,      3.54,         0,      0.01,         0,         0,      3.44,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0189_001.1,NB,0189_001.1_NB,      4.00,M831_WPr,M831_WPr,      1.00,      4.00,     30.00,      0.19,      0.19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,EB,0089_333.5_EB,      4.00,M831_WPr,M831_WPr,      1.00,     13.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.84,      0.23,         0,         0,         0,         0,      0.61
All,ok,drive,2999_003.8,EB,2999_003.8_EB,      4.00,M831_WPr,M831_WPr,      1.00,     14.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.14,         0,         0,         0,         0,         0,      1.14
All,ok,drive,3020_000.3,NB,3020_000.3_NB,      4.00,M831_WPr,M831_WPr,      1.00,     16.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.21,      0.07,         0,         0,         0,         0,      1.14
All,ok,drive,3020_000.6,NB,3020_000.6_NB,      4.00,M831_WPr,M831_WPr,      1.00,     21.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.60,      0.07,         0,         0,         0,         0,      0.53
